,,,,,,,,,,,Faculty Count
IR-E-C-1297,46136934,30930679,12605355,9311868,3742035,4732593,,,89672968,17786496,296
IR-E-U-0701,328564287,290548221,289963998,242974613,193158980,128762896,,,909076506,564896489,381
IR-E-U-0490,139097324,225184388,117044496,26472034,22015325,16511146,,,481326208,64998505,3068
IR-E-U-0575,248817816,178407096,548289485,274038412,163177698,120390748,,,975514397,557606858,463
IR-E-U-0473,156143832,84320696,53107928,59590517,10569019,7544775,,,293572456,77704311,1659
IR-E-U-0439,383628283,466908070,384600187,373820101,217455548,238587545,,,1235136540,829863194,892
IR-E-U-0205,305374620,262167444,257186388,29093817,45994293,43408094,,,824728452,118496204,414
IR-E-U-0273,330254903,220649268,256326631,49463820,34639900,15656968,,,807230802,99760688,204
IR-E-U-0237,175048330,476809314,460614368,234728359,128792413,148151968,,,1112472012,511672740,300
IR-E-U-0139,575094530,349666660,304175024,67879352,29238348,20855000,,,1228936214,117972700,125
IR-E-U-0357,212038115,204226679,161575010,283064434,33772484,62758107,,,577839804,379595025,393
IR-E-U-0456,5896783694,5046126347,4007314016,2587444013,2224530543,1760022604,,,14950224057,6571997160,674
IR-E-U-0391,229055816,167828699,214544013,33178378,19870530,10273555,,,611428528,63322463,748
IR-E-U-0025,158746698,87901729,73568799,29328619,17252743,14255857,,,320217226,60837219,420
IR-E-U-0378,552857140,103527107,374032038,57503417,47659637,42355987,,,1030416285,147519041,179
IR-E-U-0436,814248017,788525004,322565627,176719579,115363711,41511155,,,1925338648,333594445,1030
IR-E-U-0108,136171453,85800155,75460997,94372176,123311765,43928757,,,297432605,261612698,130
IR-E-U-0263,111570183,107390753,132873567,10989802,10137649,9650540,,,351834503,30777991,402
IR-E-U-0363,74215000,76059000,87176000,142550000,157500000,114550000,,,237450000,414600000,654
IR-E-U-0098,79947708,90000000,89404350,110175366,93514471,96565157,,,259352058,300254994,874
IR-E-U-0395,371553394,477446648,267786546,156169784,75242765,23100596,,,1116786588,254513145,238
IR-E-I-1480,108490000,103620000,84804000,29551728,37919325,27561586,,,296914000,95032639,723
IR-E-I-1074,3302728430,3748347370,2614152161,659733684,431097403,377449556,,,9665227961,1468280643,658
IR-E-U-0497,109225025,52253348,91023264,4414154,1154292,500000,,,252501637,6068446,449
IR-E-U-0184,156523142,114230547,104309305,9719780,7402472,5687378,,,375062994,22809630,197
IR-E-U-0747,20050000,48876602,63663072,39084000,65168800,56512460,,,132589674,160765260,976
IR-E-U-0496,84125634,107488000,204973105,23075169,20859628,34578039,,,396586739,78512836,232
IR-E-U-0064,442548462,436466319,99813207,68554178,30426008,18782923,,,978827988,117763109,166
IR-E-U-0020,99174052,75045000,73130000,39539062,14124995,14945528,,,247349052,68609585,945
IR-E-U-0458,22726594,1500000,18395332,83195702,80139571,79208473,,,42621926,242543746,455
IR-E-U-0356,95942430,74737471,129703280,296740328,58364778,31850903,,,300383181,386956009,1066
IR-E-U-0476,536455492,74296975,369445015,270951750,303428062,152323781,,,980197482,726703593,677
IR-E-U-0334,132406863,173001398,153399103,177816147,189800000,177815297,,,458807364,545431444,292
IR-E-U-0306,4698636372,3529635725,2999733716,996328396,668000000,480900000,,,11228005813,2145228396,734
IR-E-U-0055,124431536,115848880,82823718,10567737,6929084,20201865,,,323104134,37698686,228
IR-E-U-0308,298108295,415594558,252661675,59317543,46707272,35177584,,,966364528,141202399,178
IR-E-U-0564,13189949,31246955,18409330,17297398,10697327,13276028,,,62846234,41270753,509
IR-E-U-0410,112858802,123237780,74562861,90632956,135986070,136922298,,,310659443,363541324,277
IR-E-U-0577,198400199,142172532,103690269,29756368,21777093,22233236,,,444263000,73766697,270
IR-E-U-0622,37896786,18957863,7816365,6414030,100000,82600,,,64671014,6596630,85
IR-E-C-16604,19259753,20713566,110923351,15876047,10929686,9946381,,,150896670,36752114,298
IR-E-U-0014,531567168,226745000,196154626,10726479,6677890,3493987,,,954466794,20898356,130
IR-E-U-0202,67410204,71306087,83506160,37882827,3046468,4677439,,,222222451,45606734,265
IR-E-U-0584,23583585,60087711,76444297,41377943,61640960,99586778,,,160115593,202605681,284
IR-E-I-1075,2065396000,2255285600,2612279000,699753000,356079800,241883900,,,6932960600,1297716700,624
IR-E-U-0379,15439395,18735503,10975947,23594614,20815364,6460226,,,45150845,50870204,942
IR-E-U-0255,21024765,15026448,28702725,17690000,503425,4725000,,,64753938,22918425,100
IR-E-U-0555,5482266,10524312,6469460,171220789,23700000,21900000,,,22476038,216820789,323
IR-E-I-1441,81060217,0,0,0,0,0,,,81060217,0,432
IR-E-U-0355,91831203,152520000,104185000,54935039,48146501,54836556,,,348536203,157918096,178
IR-E-U-0072,45814032,42968221,44079025,86190271,71189179,77508513,,,132861278,234887963,203
IR-E-C-7252,36989565,12322706,14556095,4090892,2683466,2074824,,,63868366,8849182,708
IR-E-C-6379,5538557,7496222,81097000,35882334,31654000,6426216,,,94131779,73962550,514
IR-E-U-0374,17766047,16930861,32627007,10292938,14918097,6492583,,,67323915,31703618,417
IR-E-U-0149,38312873,63076201,27526917,147812942,98101993,68575790,,,128915991,314490725,286
IR-E-U-0573,1930832137,1610855181,1014791317,347422304,269468905,199200000,,,4556478635,816091209,900
IR-E-U-0530,72217007,73147966,133323434,90215815,80030903,197866116,,,278688407,368112834,280
IR-E-U-0844,95722646,105163210,36298998,29432238,37420024,25224343,,,237184854,92076605,119
IR-E-U-0906,81466560,204387863,44402508,39435974,31206365,14193991,,,330256931,84836330,116
IR-E-U-0297,286584207,256020430,121754532,296165380,154365785,19230000,,,664359169,469761165,73
IR-E-U-0749,133832341,29168635,14237000,3012619,1697700,2957880,,,177237976,7668199,591
IR-E-U-0878,86759458,113796867,104850811,40016845,11152942,3240702,,,305407136,54410489,127
IR-E-U-0474,152546781,55561903,101144972,30234057,29979500,28275000,,,309253656,88488557,1074
IR-E-C-37013,10396141,47563371,31172810,4742440,5164259,2566224,,,89132322,12472923,503
IR-E-U-0619,37772560,71477898,22855282,21470316,13688085,1104452,,,132105740,36262853,97
IR-E-U-0249,82350000,6565000,0,1919651,629592,11500000,,,88915000,14049243,139
IR-E-U-0560,1024078762,773700969,699699812,831498032,573523568,417401259,,,2497479543,1822422859,556
IR-E-U-0042,168900000,27500000,1900000,1553000,218000,0,,,198300000,1771000,55
IR-E-U-0092,23410681,21503233,31824455,50025932,24211185,21309263,,,76738369,95546380,241
IR-E-U-0284,53133055,44204172,24750355,97743489,80947461,40140453,,,122087582,218831403,231
IR-E-U-0946,353703993,87312153,41032264,99572950,3592195,9851670,,,482048410,113016815,71
IR-E-U-0221,710835123,725187634,459198598,6353431,10927179,6005108,,,1895221355,23285718,53
IR-E-C-1331,31686499,20910139,21741902,6745945,10646770,5088530,,,74338540,22481245,380
IR-E-U-0384,3352626,2904405,6749666,749980,357866,208000,,,13006697,1315846,170
