college id,total bc ,total bo,fru,student count 
IR-E-C-1297,103308424,1310912315,9.49,1332
IR-E-U-0701,874924788,5480448841,18.06,2118
IR-E-U-0490,885220050,12543002567,9.49,9183
IR-E-U-0575,443609380,3514077871,14.6,1697
IR-E-U-0473,2105546455,8450928500,13.16,5902
IR-E-U-0439,1032236484,7571241150,12.99,3830
IR-E-U-0205,1402484557,4788759361,19.02,1721
IR-E-U-0273,638470493,1772129016,21.05,630
IR-E-U-0237,2484453640,3718662084,24.14,1319
IR-E-U-0139,994994236,2051761823,27.09,365
IR-E-U-0357,493466188,3380901707,17.73,1613
IR-E-U-0456,11751976059,17587191826,30,1969
IR-E-U-0391,1389383035,7646248077,16.26,3581
IR-E-U-0025,745564467,3349246567,19.35,1677
IR-E-U-0378,924789964,1897029585,21.72,682
IR-E-U-0436,1679673353,4720113889,14.65,3980
IR-E-U-0108,73439767,1693767671,14.99,524
IR-E-U-0263,623488517,3887788709,17.92,1350
IR-E-U-0363,2219823609,4111379856,17.62,2550
IR-E-U-0098,718836109,4792241122,12.5,2879
IR-E-U-0395,1243934223,1831160526,26.13,759
IR-E-I-1480,676061236,4895762839,14.98,2800
IR-E-I-1074,7064760488,14330520557,28.41,2863
IR-E-U-0497,39561277,2051871011,12.83,1290
IR-E-U-0184,501844396,1284873975,21.07,620
IR-E-U-0747,932064720,4423809958,11.92,3522
IR-E-U-0496,64321310,2881951416,16.79,690
IR-E-U-0064,1397911685,1481803367,20.84,813
IR-E-U-0020,521429020,3737665084,9.75,3672
IR-E-U-0458,391116096,2485750335,13.62,1827
IR-E-U-0356,1284295178,5364156429,14.67,3512
IR-E-U-0476,958710780,2598243750,14.15,2301
IR-E-U-0334,419367979,3267248511,17.07,1289
IR-E-U-0306,5769764482,17346136923,25.36,2632
IR-E-U-0055,525504362,2235319269,15.66,1193
IR-E-U-0308,659816394,1628681655,19.9,596
IR-E-U-0564,282891021,3141724190,15.98,1695
IR-E-U-0410,361797707,2752034577,14.59,1322
IR-E-U-0577,457667264,3214441698,16.56,1195
IR-E-U-0622,94334291,596699764,19.64,287
IR-E-C-16604,107362063,2090462391,14.37,1020
IR-E-U-0014,251270954,1239630623,17.63,510
IR-E-U-0202,370400122,2596099209,15.49,1030
IR-E-U-0584,347791508,3083347476,16.14,1166
IR-E-I-1075,3450195400,9829632000,27.76,2201
IR-E-U-0379,192760567,2674249050,7.41,6191
IR-E-U-0255,351424895,1116294669,22.43,423
IR-E-U-0555,706438402,1209755062,13.33,1200
IR-E-I-1441,309637211,1251817778,9.64,1500
IR-E-U-0355,627065811,1487024845,18.84,721
IR-E-U-0072,226697776,1874521515,14.54,991
IR-E-C-7252,322043551,3335546301,10.92,3115
IR-E-C-6379,335367921,2199826776,12.13,2203
IR-E-U-0374,297019164,2384007218,12.1,1746
IR-E-U-0149,408074267,2430758946,14.91,1341
IR-E-U-0573,2454812013,17788668177,22.17,3611
IR-E-U-0530,376628970,2878053477,16.74,1669
IR-E-U-0844,661592117,1079388660,23.35,356
IR-E-U-0906,1070412852,911280568,23.66,380
IR-E-U-0297,486785748,651804834,21.08,466
IR-E-U-0749,101267322,1516996728,10.01,2544
IR-E-U-0878,603445592,865884404,21.19,300
IR-E-U-0474,1021088890,3607235131,10.06,2880
IR-E-C-37013,222194000,1862127886,9.88,1855
IR-E-U-0619,476186035,614640949,17.79,300
IR-E-U-0249,756806518,1188805634,22.58,1009
IR-E-U-0560,2754241496,9585762890,21.67,1983
IR-E-U-0042,42426059,697638314,13.93,274
IR-E-U-0092,192811776,1767365742,12.12,1325
IR-E-U-0284,314063803,2458184017,12.84,1639
IR-E-U-0946,925956192,622122663,22.94,259
IR-E-U-0221,42872245,796865192,26.85,180
IR-E-C-1331,249164857,2110555543,11.44,1524
IR-E-U-0384,147708266,1583501120,23,347
IR-E-C-41593,397679322,2050903417,18.82,1199
IR-E-U-0389,336895305,1595831486,11.54,1248
IR-E-U-0197,334604136,2022278005,17.34,1149
IR-E-U-0053,1505750896,5210560985,20.22,2001
IR-E-U-0535,465949612,773357185,22.26,416
IR-E-U-0172,618052472,2963226914,14.78,1659
IR-E-U-0493,291168736,1375779192,19.96,1221
IR-E-C-36995,279062653,1124354508,13.32,1482
IR-E-U-0739,189454056,1070581021,10.63,888
IR-E-U-0105,"161,015,867","1,775,785,772",15.69,813
IR-E-U-0489,80768776,1625629795,5.47,2580
IR-E-U-0516,100865000,870236976,11.64,668
IR-E-U-0017,310524808,4425052297,18.62,2340
IR-E-U-0099,105488005,874221400,11.92,1025
IR-E-U-0013,1224809399,4628061123,26.83,966
IR-E-C-24004,2009346927,2308563397,19.43,1040
IR-E-U-0043,112839778,1200535085,6.63,1992
IR-E-U-0190,12967000,153562690,5.01,275
IR-E-U-0217,66430457,954514444,10.61,864
IR-E-U-0373,85474825,2017220608,11.82,2115
IR-E-U-0223,81772500,1666587001,8.85,1503
IR-E-C-30045,335235660,1705974609,13.66,1182
IR-E-U-0621,289699370,438087182,14.47,325
IR-E-C-19754,249295257,937880546,9.08,1176
IR-E-C-1269,162047646,2138701409,11.14,1570
IR-E-U-0467,572954109,4037750583,19.87,1622
